representation,method_family,branch,scanner_probe,category_probe,acq_scanner_capture,acq_category_leakage,bio_scanner_leakage,bio_category_preservation,category_purity_k1,scanner_heldout_balanced_acc,sample_disjoint_scanner_heldout_balanced_acc,scanner_confounded_balanced_acc,interpretation_note,source_commit,source_result_file
original_frozen_features,frozen,original,0.864,0.400,N/A,N/A,0.864,0.400,0.960,0.845,N/A,N/A,pre-factorization reference; highest scanner probe,1c527697;535eea18,unified_separation_scoreboard_key_metrics.csv;scanner_heldout_summary.csv
oldstyle_keep_k4,oldstyle_linear,keep,0.200,0.400,N/A,N/A,0.200,0.400,0.968,0.835,N/A,N/A,strongest raw scanner removal (chance level 0.200); no acquisition branch; reference baseline for all scanner-removal comparisons,1c527697;3450ede2;535eea18,unified_separation_scoreboard_key_metrics.csv;oldstyle_residual_summary.csv;scanner_heldout_summary.csv
oldstyle_removed_k4,oldstyle_linear,removed,0.538,0.242,0.538,0.242,N/A,N/A,0.346,N/A,N/A,N/A,removed component: lower category leakage than true_pair_acq but no explicit branch,1c527697;3450ede2,unified_separation_scoreboard_key_metrics.csv;oldstyle_residual_summary.csv
true_pair_biological,neural_factorization,biological,0.361,0.386,N/A,N/A,0.361,0.386,0.973,0.827,0.326,0.379,structured separation: scanner suppressed (δ=+0.505) category preserved (δ=−0.021); nearly preserves frozen downstream transfer,1c527697;535eea18;c29a038d,unified_separation_scoreboard_key_metrics.csv;scanner_heldout_summary.csv;frontier_downstream_summary.csv
true_pair_acquisition,neural_factorization,acquisition,0.865,0.346,0.865,0.346,N/A,N/A,0.574,0.515,0.265,0.307,acquisition branch baseline (64D): scanner captured category reduced; higher leakage than bottlenecked variants,1c527697;535eea18;c29a038d,unified_separation_scoreboard_key_metrics.csv;scanner_heldout_summary.csv;frontier_downstream_summary.csv
acq_dim8_default_biological,bottlenecked_neural,biological,0.369,0.385,N/A,N/A,0.369,0.385,0.973,0.822,0.329,0.379,bottlenecked bio: preserves category and transfer; slightly higher bio scanner leakage than true_pair,1c527697;c29a038d,unified_separation_scoreboard_key_metrics.csv;frontier_downstream_summary.csv
acq_dim8_default_acquisition,bottlenecked_neural,acquisition,0.864,0.160,0.864,0.160,N/A,N/A,0.326,0.175,0.130,0.162,bottlenecked acq: category leakage reduced (δ=−0.186 vs true_pair); scanner capture preserved; downstream transfer collapses (expected),1c527697;c29a038d,unified_separation_scoreboard_key_metrics.csv;frontier_downstream_summary.csv
acq_dim16_stronger_xcov_biological,bottlenecked_neural,biological,0.359,0.382,N/A,N/A,0.359,0.382,0.973,0.829,0.337,0.376,bottlenecked bio (stronger xcov): best bio scanner suppression among neural variants (0.359),1c527697;c29a038d,unified_separation_scoreboard_key_metrics.csv;frontier_downstream_summary.csv
acq_dim16_stronger_xcov_acquisition,bottlenecked_neural,acquisition,0.864,0.169,0.864,0.169,N/A,N/A,0.381,0.204,0.140,0.178,bottlenecked acq (stronger xcov): category leakage reduced (δ=−0.177); slightly higher scanner capture variance,1c527697;c29a038d,unified_separation_scoreboard_key_metrics.csv;frontier_downstream_summary.csv
shuffled_sample_biological,shuffled_control,biological,0.409,0.323,N/A,N/A,0.409,0.323,0.927,0.608,N/A,N/A,broken-pair control: worse scanner suppression worse category preservation worse purity worse transfer,1c527697;535eea18,unified_separation_scoreboard_key_metrics.csv;scanner_heldout_summary.csv
shuffled_sample_acquisition,shuffled_control,acquisition,0.830,0.387,0.830,0.387,N/A,N/A,0.731,0.623,N/A,N/A,broken-pair acq: higher category leakage than true_pair (0.387 vs 0.346) worse scanner capture,1c527697;535eea18,unified_separation_scoreboard_key_metrics.csv;scanner_heldout_summary.csv
pca_removal_k32,pca_removal,control,0.649,0.289,N/A,N/A,N/A,N/A,0.965,N/A,N/A,N/A,PCA: worse scanner suppression and category preservation; no branch separation; increases effective rank,1c527697,unified_separation_scoreboard_key_metrics.csv
